
 --- Table  1: Summary of nuclide data: 

 Data for 282 nuclides included in calculation:

 - 282 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 8094 reaction channels
 - 3441 special reactions
 - No transmutation reactions
 - 79 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

    1   0  1001.09c      09c  TRA    1   1 0    1.00782   908.0          N/A  I-----T-------------  hydrogen (H-1)
    2   0  1002.09c      09c  TRA    1   2 0    2.01410   908.0          N/A  I-----T-------------  deuterium (H-2)
    3   0  1003.09c      09c  TRA    1   3 0    3.01550   908.0          N/A  I-----T-------------  tritium (H-3)
    4   0  2003.09c      09c  TRA    2   3 0    3.01493   908.0          N/A  I-----T-------------  helium 3 (He-3)
    5   0  2004.09c      09c  TRA    2   4 0    4.00260   908.0          N/A  I-----T-------------  helium 4 (He-4)
    6   0  3006.09c      09c  TRA    3   6 0    6.01507   908.0          N/A  I-----T-------------  lithium 6 (Li-6)
    7   0  3007.09c      09c  TRA    3   7 0    7.01600   908.0          N/A  I-----T-------------  lithium 7 (Li-7)
    8   0  4009.09c      09c  TRA    4   9 0    9.01220   908.0          N/A  I-----T-------------  beryllium 9 (Be-9)
    9   0  5010.09c      09c  TRA    5  10 0   10.01294   908.0          N/A  I-----T-------------  boron 10 (B-10)
   10   0  5011.09c      09c  TRA    5  11 0   11.00928   908.0          N/A  I-----T-------------  boron 11 (B-11)
   11   0  6012.09c      09c  TRA    6  12 0   11.99999   908.0          N/A  I-----T-------------  carbon 12 (C-12)
   12   0  6012.09s      09s  TRA    6  12 0   11.99999   908.0          N/A  I-----TS------------  carbon 12 (C-12)
   13   0  7014.09c      09c  TRA    7  14 0   14.00307   908.0          N/A  I-----T-------------  nitrogen 14 (N-14)
   14   0  7015.09c      09c  TRA    7  15 0   14.99986   908.0          N/A  I-----T-------------  nitrogen 15 (N-15)
   15   0  8016.09c      09c  TRA    8  16 0   15.99492   908.0          N/A  I-----T-------------  oxygen 16 (O-16)
   16   0  8017.09c      09c  TRA    8  17 0   16.99913   908.0          N/A  I-----T-------------  oxygen 17 (O-17)
   17   0  9019.09c      09c  TRA    9  19 0   18.99820   908.0          N/A  I-----T-------------  fluorine 19 (F-19)
   18   0  31069.09c     09c  TRA   31  69 0   68.92571   908.0          N/A  I-----T-------------  gallium 69 (Ga-69)
